No,Tgl_Iklan,url,Harga_Juta,Kota,LT,LB,KT,KM,KTP,KMP,Carport,Garasi,Listrik,Surat,Judul,Deskripsi,
21,26-03-21,https://www.rumah123.com/properti/depok/hos8077833/,114.9,DEPOK ,71,91,3,2,0,0,2,0,2200,SHM,HUNIAN 2 LANTAI MEWAH ALA AMERICAN STYLE ADA SWIMMPING POOL LOKASI STRATEGIS DEKAT TOL BEJI KUKUSAN,RUMAH CLUSTER 2 LANTAI TERBAIK BERLOKASI STRATEGIS DI BELAKANG KAMPUS UI - DEPOK.,
22,29-03-21,https://www.rumah123.com/properti/depok/hos7808051/,548,DEPOK ,60,54,3,2,3,2,0,0,2200,SHM,PROMO DP 0 FREE BIAYA RUMAH MURAH STRATEGIS 2 LANTAI DEKAT GRAND DEPOK CITY DAN STASIUN KRL,"HUNIAN CLUSTER PERUMAHAN TERBARU DI TENGAH DEPOK DENGAN KONSEP MODERN SCANDINAVIAN YANG FRESH, MODERN DAN HIJAU.",
23,30-03-21,https://www.rumah123.com/properti/depok/hos7698601/,780,DEPOK ,72,97,3,3,0,0,0,0,2200,SHM,RUMAH MEWAH CILODONG DEPOK AKSES PINGGIR JALAN RAYA 2 LANTAI DEKAT GDC DAN STASIUN DEPOK,RUMAH IDAMAN 2 LANTAI BERNUANSA MODERN MINIMALIS YANG MANIS DENGAN SPESIFIKASI BANGUNAN YANG BERKUALITAS SNI,
24,30-03-21,https://www.rumah123.com/properti/depok/hos8095806/,320,DEPOK ,40,60,2,1,0,0,0,0,1300,SHM,RUMAH MURAH DAN STRATEGIS DI TENGAH KOTA DEPOK,RUMAH MEWAH TERMURAH AKSES TERMUDAH HARGA MULAI 300JTAN,
25,30-03-21,https://www.rumah123.com/properti/depok/hos7526688/,1290,DEPOK ,99,90,3,2,0,0,1,0,2200,SHM,"RUMAH TOWNHOUSE / CLUSTER MUSLIM DEKAT BANDARA DAN LAPANGAN GOLF PONDOK CABE, TOL DAN MRT LEBAK BULUS. AKSES MUDAH KE JAKARTA SELATAN. RP 1,29 MILYAR","RUMAH TOWNHOUSE MUSLIM MEWAH 2 LANTAI DEKAT BANDARA & LAPANGAN GOLF PONDOK CABE, AKSES DEKAT TOL BSD - CINERE & TOL SAWANGAN",
26,31-03-21,https://www.rumah123.com/properti/depok/hos7744496/,470,DEPOK ,60,40,2,1,0,0,0,0,1300,SHM,RUMAH DEPOK CIMANGGIS EKSKLUSIF STRATEGIS 10 MENIT KE 2 PINTU TOL,"INFO: UNTUK RESPON LEBIH CEPAT, BISA HUBUNGI KAMI VIA WHATSAPP",
27,31-03-21,https://www.rumah123.com/properti/depok/hos7800164/,816,DEPOK ,58,71,3,2,0,0,0,0,2200,SHM,RUMAH KUKUSAN BEJI DEPOK 3 LANTAI ROOFTOP DEKAT KE TOL,"INFO: UNTUK RESPON LEBIH CEPAT, BISA HUBUNGI KAMI VIA WHATSAPP",
28,31-03-21,https://www.rumah123.com/properti/depok/hos8089978/,695,DEPOK ,67,69,3,2,0,0,0,0,1300,SHM,RUMAH 2 LANTAI GAYA BALI GAS ALAM EKSKLUSIF DEKAT TOL CIMANGGIS,"INFO: UNTUK RESPON LEBIH CEPAT, BISA HUBUNGI KAMI VIA WHATSAPP",
29,31-03-21,https://www.rumah123.com/properti/depok/hos6580611/,499,DEPOK ,67,42,2,1,0,0,0,0,1300,SHM,RUMAH GAYA BALI GAS ALAM EKSKLUSIF DEKAT TOL CIMANGGIS,"INFO: UNTUK RESPON LEBIH CEPAT, BISA HUBUNGI KAMI VIA WHATSAPP",
30,31-03-21,https://www.rumah.com/listing-properti/dijual-depok-pancoran-mas-rangkapan-jaya-rumah-2-lantai-minimalis-mewah-oleh-yusup-rachmat-hidayat-17945339,920,DEPOK ,92,112,4,2,0,0,2,0,2200,SHM,"DEPOK, PANCORAN MAS, RANGKAPAN JAYA, RUMAH 2 LANTAI MINIMALIS MEWAH","DEPOK, PANCORAN MAS, RUMAH 2 LANTAI MINIMALIS MEWAH SPESIFIKASI: - LUAS TANAH 92 M2 - LUAS BANGUNAN 112 M2 - SERTIFIKAT HAK MILIK & IMB (SUDAH MASING2 PER-KAVLING) - JUMLAH LANTAI 2 - KAMAR TIDUR 4 - KAMAR MANDI 2 - CARPORT KAPASITAS 2 MOBIL - TERSEDIA BALKON, TERAS DEPAN DAN SAMPING - PONDASI CAKAR AYAM, BATU KALI & SLOOF BETON - TEMBOK HEBEL - PINTU UTAMA & KAMAR ABS “S-PLUS” - PINTU TERAS SAMPING KACA & ALUMUNIUM - PINTU BALKON ATAS SLIDING KACA ALUMUNIUM - JENDELA KACA & ALUMUNIUM - LANTAI RUANG GRANIT - RANGKA ATAP BAJA RINGAN - GENTENG KERAMIK - SANITASI CLOSET DUDUK, WASHTAFEL & SHOWER - SUMBER AIR SUMUR BOR JET PUMP - DAYA LISTRIK 2200 W “RUMAH IDAMAN, HUNIAN NYAMAN & INVESTASI AMAN, UNTUK ANDA DAN KELUARGA"" LOKASI STRATEGIS: A) AKSES LANGSUNG KE TOL GATE SAWANGAN/RANGKAPAN JAYA (TOL DESARI) DAN TOL GATE CINERE (TOL JORR 2). B) 5 MENIT KE MALL DTC, SEKOLAH ALHAMIDIYAH DAN MASJID KUBAH MAS C) 10 MENIT KE RS BAKTI YUDHA, RS. PERMATA DAN RSUD DEPOK. D) 10 MENIT KE TRANSMART, STASIUN DEPOK LAMA, STASIUN DEPOK BARU, TERMINAL DEPOK DAN JL. MARGONDA.",
